ImageFile,targ_side,correctAnswer,colour,distNo,targetType,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_6.started,text_6.stopped,buttonBox.keys,buttonBox.rt,buttonBox.started,buttonBox.stopped,text_7.started,text_7.stopped,buttonBox_3.keys,buttonBox_3.rt,buttonBox_3.started,buttonBox_3.stopped,text_8.started,text_8.stopped,buttonBox_4.keys,buttonBox_4.rt,buttonBox_4.started,buttonBox_4.stopped,text_9.started,text_9.stopped,buttonBox_5.keys,buttonBox_5.rt,buttonBox_5.started,buttonBox_5.stopped,text_2.started,text_2.stopped,buttonBox_6.keys,buttonBox_6.rt,buttonBox_6.started,buttonBox_6.stopped,text_5.started,text_5.stopped,buttonBox_7.keys,buttonBox_7.rt,image_2.started,image_2.stopped,image_3.started,image_3.stopped,buttonBox_8.keys,buttonBox_8.rt,buttonBox_8.started,buttonBox_8.stopped,polygon.started,polygon.stopped,buttonBox_9.keys,buttonBox_9.rt,buttonBox_9.started,buttonBox_9.stopped,image.started,image.stopped,buttonBox_10.keys,buttonBox_10.corr,buttonBox_10.rt,buttonBox_10.started,buttonBox_10.stopped,text_4.started,text_4.stopped,text.started,text.stopped,buttonBox_11.keys,buttonBox_11.rt,buttonBox_11.started,buttonBox_11.stopped,targetTypeInstruction.started,targetTypeInstruction.stopped,buttonBox_2.keys,buttonBox_2.rt,buttonBox_2.started,buttonBox_2.stopped,dispStimuli.started,dispStimuli.stopped,buttonBox_12.keys,buttonBox_12.corr,buttonBox_12.rt,buttonBox_12.started,buttonBox_12.stopped,breakMessage.started,breakMessage.stopped,buttonBox_13.keys,buttonBox_13.started,buttonBox_13.stopped,buttonBox_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,9.274383179988945,None,2,51.60131556598935,9.274383179988945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
,,,,,,,,,,,,,,,,,,,,60.87367846199777,None,2,28.466935844015097,60.87367846199777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
,,,,,,,,,,,,,,,,,,,,,,,,,,89.34271895501297,None,2,10.915266830998007,89.34271895501297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.26019807800185,None,2,6.697759220987791,100.26019807800185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.96028682301403,None,2,6.298099286010256,107.94346204999601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.24169933999656,None,2,9.298198948992649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.54238442899077,None,126.54238442899077,None,2,2.314415998000186,126.54238442899077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.89404781899066,None,2,10.304282344994135,128.89404781899066,None,139.24251665300108,None,3,1,1.2390142990043387,139.24251665300108,None,140.47523012998863,None,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
Practice arrays/exp1a_trial_16_colour1_distractors4_l.png,l,1,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.47743240301497,None,2,3.5823184170003515,142.47743240301497,None,146.10928797599627,None,1,1,2.6335342160018627,146.10928797599627,None,148.742882652994,None,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.74481518400717,None,2,0.799795991013525,150.74481518400717,None,151.59507581201615,None,1,1,1.4494104479963426,151.59507581201615,None,153.04287986899726,None,,,,,,,,,,,,,,,,,,,,,,,,,,06,001,2023_Jan_18_1349,searchDisc5,2021.2.3,59.93946796825601,
